fid,samp,mass,vv,tlh,tdh,trh,t2,tmax,intertidal,replicate,mod,hi,NJ,m,year,,,,,
78,13,0.000001,0,0,0,0,1,0,0,1,0,0,0,1,2015,,,,,
79,14,0.1,3,3,0,0,1,0,0,2,0,0,0,1,2015,,,,,
80,14,0.01,3,3,1,0,1,0,0,2,0,0,0,1,2015,,,,,
81,14,0.001,3,1,0,0,1,0,0,2,0,0,0,1,2015,,,,,
82,14,0.0001,3,0,0,0,1,0,0,2,0,0,0,1,2015,,,,,
83,14,0.00001,2,0,0,0,1,0,0,2,0,0,0,1,2015,,,,,
84,14,0.000001,0,0,0,0,1,0,0,2,0,0,0,1,2015,,,,,
85,15,0.1,3,2,0,0,1,0,0,3,0,0,0,1,2015,,,,,
86,15,0.01,3,3,1,0,1,0,0,3,0,0,0,1,2015,,,,,
87,15,0.001,3,2,0,0,1,0,0,3,0,0,0,1,2015,,,,,
88,15,0.0001,3,1,0,0,1,0,0,3,0,0,0,1,2015,,,,,
89,15,0.00001,2,0,0,0,1,0,0,3,0,0,0,1,2015,,,,,
90,15,0.000001,0,0,0,0,1,0,0,3,0,0,0,1,2015,,,,,
91,16,0.1,3,3,0,0,1,0,0,4,0,0,0,1,2015,,,,,
92,16,0.01,3,3,2,0,1,0,0,4,0,0,0,1,2015,,,,,
93,16,0.001,3,0,0,0,1,0,0,4,0,0,0,1,2015,,,,,
94,16,0.0001,2,0,0,0,1,0,0,4,0,0,0,1,2015,,,,,
95,16,0.00001,0,0,0,0,1,0,0,4,0,0,0,1,2015,,,,,
96,16,0.000001,0,0,0,0,1,0,0,4,0,0,0,1,2015,,,,,
97,17,0.1,3,3,3,1,0,0,1,1,1,0,0,1,2015,,,,,
98,17,0.01,3,3,3,0,0,0,1,1,1,0,0,1,2015,,,,,
99,17,0.001,3,3,1,1,0,0,1,1,1,0,0,1,2015,,,,,
100,17,0.0001,0,1,0,0,0,0,1,1,1,0,0,1,2015,,,,,
101,17,0.00001,0,0,0,0,0,0,1,1,1,0,0,1,2015,,,,,
102,17,0.000001,NA,NA,NA,NA,0,0,1,1,1,0,0,1,2015,,,,,
103,18,0.1,3,3,2,1,0,0,1,2,1,0,0,1,2015,,,,,
104,18,0.01,3,3,3,2,0,0,1,2,1,0,0,1,2015,,,,,
105,18,0.001,3,3,0,0,0,0,1,2,1,0,0,1,2015,,,,,
106,18,0.0001,3,3,1,1,0,0,1,2,1,0,0,1,2015,,,,,
107,18,0.00001,0,1,0,0,0,0,1,2,1,0,0,1,2015,,,,,
108,18,0.000001,NA,NA,NA,NA,0,0,1,2,1,0,0,1,2015,,,,,
109,19,0.1,3,3,3,0,0,0,1,3,1,0,0,1,2015,,,,,
110,19,0.01,3,3,2,1,0,0,1,3,1,0,0,1,2015,,,,,
111,19,0.001,3,3,0,0,0,0,1,3,1,0,0,1,2015,,,,,
112,19,0.0001,1,3,0,0,0,0,1,3,1,0,0,1,2015,,,,,
113,19,0.00001,NA,NA,NA,NA,0,0,1,3,1,0,0,1,2015,,,,,
114,19,0.000001,NA,NA,NA,NA,0,0,1,3,1,0,0,1,2015,,,,,
115,20,0.1,3,3,3,3,0,0,1,4,1,0,0,1,2015,,,,,
116,20,0.01,3,3,3,0,0,0,1,4,1,0,0,1,2015,,,,,
117,20,0.001,3,3,1,1,0,0,1,4,1,0,0,1,2015,,,,,
118,20,0.0001,3,3,0,0,0,0,1,4,1,0,0,1,2015,,,,,
119,20,0.00001,1,0,0,0,0,0,1,4,1,0,0,1,2015,,,,,
120,20,0.000001,0,0,0,0,0,0,1,4,1,0,0,1,2015,,,,,
121,21,0.1,3,3,2,0,0,0,0,1,1,0,0,1,2015,,,,,
122,21,0.01,3,3,2,2,0,0,0,1,1,0,0,1,2015,,,,,
123,21,0.001,3,3,1,0,0,0,0,1,1,0,0,1,2015,,,,,
124,21,0.0001,1,1,0,0,0,0,0,1,1,0,0,1,2015,,,,,
125,21,0.00001,0,1,0,0,0,0,0,1,1,0,0,1,2015,,,,,
126,21,0.000001,NA,NA,NA,NA,0,0,0,1,1,0,0,1,2015,,,,,
127,22,0.1,3,3,2,0,0,0,0,2,1,0,0,1,2015,,,,,
128,22,0.01,3,3,2,0,0,0,0,2,1,0,0,1,2015,,,,,
129,22,0.001,3,3,0,0,0,0,0,2,1,0,0,1,2015,,,,,
130,22,0.0001,1,1,0,0,0,0,0,2,1,0,0,1,2015,,,,,
131,22,0.00001,0,0,0,0,0,0,0,2,1,0,0,1,2015,,,,,
132,22,0.000001,NA,NA,NA,NA,0,0,0,2,1,0,0,1,2015,,,,,
133,23,0.1,3,3,3,0,0,0,0,3,1,0,0,1,2015,,,,,
134,23,0.01,3,3,0,0,0,0,0,3,1,0,0,1,2015,,,,,
135,23,0.001,3,3,0,0,0,0,0,3,1,0,0,1,2015,,,,,
136,23,0.0001,0,2,0,0,0,0,0,3,1,0,0,1,2015,,,,,
137,23,0.00001,1,0,0,0,0,0,0,3,1,0,0,1,2015,,,,,
138,23,0.000001,0,1,0,0,0,0,0,3,1,0,0,1,2015,,,,,
139,24,0.1,3,3,3,2,0,0,0,4,1,0,0,1,2015,,,,,
140,24,0.01,3,3,2,0,0,0,0,4,1,0,0,1,2015,,,,,
141,24,0.001,3,1,0,0,0,0,0,4,1,0,0,1,2015,,,,,
142,24,0.0001,0,0,0,0,0,0,0,4,1,0,0,1,2015,,,,,
143,24,0.00001,0,0,0,0,0,0,0,4,1,0,0,1,2015,,,,,
144,24,0.000001,NA,NA,NA,NA,0,0,0,4,1,0,0,1,2015,,,,,
145,25,0.1,3,3,3,1,1,0,1,1,1,0,0,1,2015,,,,,
146,25,0.01,3,3,2,1,1,0,1,1,1,0,0,1,2015,,,,,
147,25,0.001,3,3,1,0,1,0,1,1,1,0,0,1,2015,,,,,
148,25,0.0001,1,3,0,0,1,0,1,1,1,0,0,1,2015,,,,,
149,25,0.00001,1,2,0,0,1,0,1,1,1,0,0,1,2015,,,,,
150,25,0.000001,NA,NA,NA,NA,1,0,1,1,1,0,0,1,2015,,,,,
151,26,0.1,3,3,3,0,1,0,1,2,1,0,0,1,2015,,,,,
152,26,0.01,3,3,3,0,1,0,1,2,1,0,0,1,2015,,,,,
153,26,0.001,3,3,1,1,1,0,1,2,1,0,0,1,2015,,,,,
154,26,0.0001,1,3,0,0,1,0,1,2,1,0,0,1,2015,,,,,
155,26,0.00001,0,0,0,0,1,0,1,2,1,0,0,1,2015,,,,,
156,26,0.000001,NA,NA,NA,NA,1,0,1,2,1,0,0,1,2015,,,,,
